T_id,Sig,Unit
39316,C_unit,中国航天科工集团公司第二研究院(710所)
43576,C_unit,中国航天科工集团公司第十研究院
9521,C_unit,中国航天科技集团公司第一研究院
48282,F_unit,中国航天科技集团公司第一研究院(12所)
49217,S_unit,中国航天科技集团公司第一研究院(14所)
55474,S_unit,中国航天科技集团公司第一研究院(15所)
55224,S_unit,中国航天科技集团公司第一研究院(18所)
51224,S_unit,中国航天科技集团公司第一研究院(703所)
92825,S_unit,中国航天科技集团公司第一研究院(第一总体设计部)
59687,F_unit,中国航天科技集团公司第二研究院(第二总体设计部)
51227,F_unit,中国航天科技集团公司第五研究院
48350,S_unit,中国航天科技集团公司第五研究院(511所)
7298,C_unit,中国航天科技集团公司第八研究院
42395,F_unit,中国航天科技集团公司第六研究院(11所)
21786,C_unit,中国航天科技集团公司第十一研究院
32903,C_unit,中国航天科技集团公司第十二研究院
47099,S_unit,中国航天科技集团公司航天时代电子公司(13所)
55480,F_unit,中国航天科技集团公司航天时代电子公司(704所)
39722,C_unit,中国航空制造技术研究院
39314,F_unit,中国航空研究院
39314,C_unit,中国航空研究院601所
8518,C_unit,中国航空研究院602所
10629,C_unit,中国航空研究院609所
8497,C_unit,中国航空研究院613所
29211,S_unit,中国航空研究院618所
9519,C_unit,中国航空研究院623所
27164,F_unit,中国航空研究院624所
66877,C_unit,中国航空研究院640所
5089,C_unit,中国舰船研究设计中心(701所)
39318,C_unit,中国舰船研究院
6765,C_unit,中国舰船研究院(上海船舶设备研究所)
10660,C_unit,中国船舶及海洋工程设计研究院
8235,C_unit,中国船舶科学研究中心
2538,C_unit,中国药科大学
2382,C_unit,中国计量大学
54849,S_unit,中国计量科学研究院
66951,C_unit,中国辐射防护研究院
52158,C_unit,中国运载火箭技术研究院
1143,C_unit,中国铁道科学研究院
23140,C_unit,中国青年政治学院
1685,C_unit,中国飞行试验研究院
76,C_unit,中央民族大学
47546,F_unit,中央美术学院
1589,C_unit,中央财经大学
105,C_unit,中山大学
3060,C_unit,临沂大学
8519,C_unit,云南农业大学
740,C_unit,云南大学
2633,C_unit,云南师范大学
1004,C_unit,云南民族大学
5209,C_unit,云南财经大学
10567,C_unit,五邑大学
63412,S_unit,亚利桑那州立大学
2842,C_unit,伊犁师范大学
85937,C_unit,伦敦大学国王学院
35131,S_unit,伦敦大学学院
77957,S_unit,佐治亚理工学院
18980,C_unit,佛山科学技术学院
22954,C_unit,佳木斯大学
8747,C_unit,信阳师范学院
55478,S_unit,元智大学
10503,C_unit,兰州交通大学
59659,S_unit,兰州城市学院
1330,C_unit,兰州大学
669,C_unit,兰州理工大学
23085,C_unit,兰州财经大学
798,C_unit,内蒙古大学
58,C_unit,内蒙古工业大学
9753,C_unit,内蒙古师范大学
8686,C_unit,内蒙古民族大学
7934,C_unit,内蒙古科技大学
2350,C_unit,内蒙古财经大学
40837,F_unit,凯斯西储大学
36009,S_unit,加州大学圣克鲁兹分校硅谷学院
80801,F_unit,北京中医药大学
140,C_unit,北京交通大学
21308,C_unit,北京信息控制研究所(航天710所)
1441,C_unit,北京信息科技大学
114,C_unit,北京化工大学
31563,F_unit,北京协和医学院
43732,C_unit,北京印刷学院
31901,C_unit,北京外国语大学
1034,C_unit,北京大学
267,C_unit,北京工业大学
9686,C_unit,北京工商大学
63392,S_unit,北京市环境保护科学研究院
1171,C_unit,北京师范大学
93749,S_unit,北京师范大学-香港浸会大学联合国际学院
13698,C_unit,北京建筑大学
4877,C_unit,北京有色金属研究总院
1302,C_unit,北京服装学院
383,C_unit,北京机械工业学院
23255,S_unit,北京机电研究所
2336,C_unit,北京林业大学
1103,C_unit,北京物资学院
421,C_unit,北京理工大学
2923,C_unit,北京电子科技学院
8052,C_unit,北京石油化工学院
1243,C_unit,北京科技大学
94138,C_unit,北京第二外国语学院
4130,C_unit,北京系统工程研究所
18841,C_unit,北京联合大学
126,C_unit,北京航空航天大学
44629,S_unit,北京语言大学
5244,C_unit,北京跟踪与通信技术研究所
877,C_unit,北京邮电大学
7947,C_unit,北华大学
7946,C_unit,北华航天工业学院
384,C_unit,北方工业大学
2051,C_unit,北方民族大学
45379,F_unit,匹兹堡大学
1135,C_unit,华东交通大学
202,C_unit,华东师范大学
9047,C_unit,华东政法大学
192,C_unit,华东理工大学
42393,C_unit,华东计算技术研究所
806,C_unit,华中农业大学
660,C_unit,华中师范大学
815,C_unit,华中科技大学
2613,C_unit,华侨大学
8477,C_unit,华北水利水电大学
13907,C_unit,华北理工大学
227,C_unit,华北电力大学
643,C_unit,华北电力大学(保定)
1154,C_unit,华北电力大学(北京)
77664,F_unit,华北计算机系统工程研究所
1867,C_unit,华南农业大学
2515,C_unit,华南师范大学
48,C_unit,华南理工大学
42435,F_unit,华盛顿大学
87585,C_unit,南京中医药大学
62,C_unit,南京信息工程大学
167,C_unit,南京农业大学
59757,F_unit,南京医科大学
59,C_unit,南京大学
